"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"7",7,"1RXS J160929.1-210524","b","Imaging",1,NA,330,NA,NA,0,0,0,"16h09m30.30s",242.376268,"-21d04m58.9s",-21.083036,145,4060,0.85,NA,"15/4/1","1RXS J160929.1-210524 b",NA,1700,NA,"Mass",8,3000,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...802...61L target=ref>Lachapelle et al. 2015</a>",2008,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...689L.153L target=ref> Lafreniere et al. 2008 </a>","Ground","Gemini Observatory","8.19 m Gemini North Telescope","NIRI Camera",16.15841787,352.89056,22.030427,244.365684,-0.06841,NA,NA,5.7,"K7 V",0.005
"10",10,"2MASS J01225093-2439505","b","Imaging",1,NA,52,NA,NA,0,0,0,"01h22m50.94s",20.712243,"-24d39m50.6s",-24.664049,36,3530,0.4,NA,"14/5/14","2MASS J01225093-2439505 b",NA,NA,NA,"Mass",24.5,7786.5,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...774...55B target=ref> Bowler et al. 2013 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...774...55B target=ref> Bowler et al. 2013 </a>","Ground","W. M. Keck Observatory","10 m Keck II Telescope","NIRC2 Camera",1.3808162,195.448768,-82.520165,8.622413,-30.711243,NA,9.6,6.35,"M3.5 V",0.12
"11",11,"2MASS J02192210-3925225","b","Imaging",1,NA,156,NA,NA,0,0,0,"02h19m22.11s",34.842106,"-39d25m22.5s",-39.422928,39.4,3064,0.11,0.28,"15/5/14","2MASS J02192210-3925225 b",NA,NA,NA,"Mass",13.9,4417.837,NA,1.44,16.141,0.148,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...806..254A target=ref>Artigau et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...806..254A target=ref>Artigau et al. 2015</a>","Ground","Cerro Tololo Inter-American Observatory","1.5 m CTIO Telescope","SIMON Near-Infrared Spectroimager",2.32280707,252.453768,-67.984453,13.508497,-49.30478,NA,10.6,6.6,"M6",0.035
"12",12,"2MASS J04414489+2301513","b","Imaging",1,NA,15,NA,NA,0,0,0,"04h41m44.90s",70.437073,"+23d01m51.4s",23.030941,140,NA,0.02,NA,"14/5/14","2MASS J04414489+2301513 b",NA,NA,NA,"Mass",7.5,2383.6,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...714L..84T target=ref> Todorov et al. 2010 </a>",2010,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...714L..84T target=ref> Todorov et al. 2010 </a>","Space","Hubble Space Telescope","2.4 m Hubble Space Telescope","WFPC2 Camera",4.69580487,176.510593,-15.114249,72.050227,0.80244,NA,NA,6.85,"M8.5",0.001
"13",13,"2MASS J12073346-3932539","b","Imaging",1,NA,46,NA,NA,0,0,0,"12h07m33.47s",181.889447,"-39d32m54.0s",-39.548332,52.4,NA,0.02,NA,"14/5/14","2MASS J12073346-3932539 b",NA,1150,NA,"Mass",4,1271,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...477L...1D target=ref> Ducourant et al. 2008 </a>",2004,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004A&A...425L..29C target=ref> Chauvin et al. 2004 </a>","Ground","Paranal Observatory","8.2 m ESO VLT UT4 Yepun Telescope","NACO Camera",12.12596313,293.790363,22.543297,199.743654,-35.034839,NA,NA,6.8,"M8",0.008
"15",15,"2MASS J21402931+1625183 A","b","Imaging",1,7336.5,NA,0.26,46.2,0,0,0,"21h40m29.32s",325.122159,"+16d25m18.3s",16.421759,25,2300,0.08,0.12,"14/5/14","2MASS J21402931+1625183 A b",NA,2075,NA,"Mass",20.95,6657.48,NA,0.92,10.31,0.09,"<a href=http://adsabs.harvard.edu/abs/2010ApJ...711.1087K target=ref> Konopacky et al. 2010 </a>",2009,"<a href=http://adsabs.harvard.edu/abs/2010ApJ...711.1087K target=ref> Konopacky et al. 2010 </a>","Ground","W. M. Keck Observatory","10 m Keck II Telescope","NIRC2 Camera",21.6748106,70.485103,-26.437255,333.590507,28.526095,NA,13,6.85,"M8.5",NA
"16",16,"2MASS J22362452+4751425","b","Imaging",1,NA,230,NA,NA,0,0,0,"22h36m24.53s",339.102203,"+47d51m42.6s",47.86182,74,4045,0.6,NA,"16/11/10","2MASS J22362452+4751425 b",NA,NA,NA,"Mass",12.5,3972.875,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv161100364B target=ref>Bowler et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv161100364B target=ref>Bowler et al. 2016</a>","Ground","W. M. Keck Observatory","10 m Keck II Telescope","NIRC2 Camera",22.60681356,100.748288,-9.108906,6.858823,50.853569,NA,-21.5,5.7,"K7 V",0.12
"23",23,"51 Eri","b","Imaging",1,NA,13.2,NA,NA,0,0,0,"04h37m36.13s",69.400551,"-02d28m24.8s",-2.473548,29.4,NA,1.75,NA,"15/8/14","51 Eri b",NA,700,NA,"Mass",2,635.66,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015Sci...350...64M target=ref>Macintosh et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015Sci...350...64M target=ref>Macintosh et al. 2015</a>","Ground","Gemini Observatory","8.19 m Gemini South Telescope","Gemini Planet Imager",4.62670339,198.61262,-30.657612,67.313442,-24.305028,NA,17.3,3,"F0 IV",0.02
"40",40,"AB Pic","b","Imaging",1,NA,260,NA,NA,0,0,0,"06h19m12.91s",94.803802,"-58d03m15.5s",-58.05431,45.52,NA,NA,NA,"14/5/14","AB Pic b",NA,NA,NA,"Mass",13.5,4290.5,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...438L..29C target=ref> Chauvin et al. 2005 </a>",2005,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...438L..29C target=ref> Chauvin et al. 2005 </a>","Ground","Paranal Observatory","8.2 m ESO VLT UT4 Yepun Telescope","NACO Camera",6.3202535,266.943713,-26.930799,106.859385,-81.211862,21.97,22.2,5.2,"K2 V",0.03
"59",59,"CFBDSIR J145829+101343","b","Imaging",1,10037.5,2.6,NA,NA,0,0,0,"14h58m29.00s",224.620833,"+10d13m43.0s",10.228611,23.1,580.5,0.02,NA,"14/5/14","CFBDSIR J145829+101343 b",NA,370,NA,"Mass",10.5,3337.1,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011ApJ...740..108L target=ref> Liu et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011ApJ...740..108L target=ref> Liu et al. 2011 </a>","Ground","W. M. Keck Observatory","10 m Keck II Telescope","NIRC2 Camera",14.97472222,9.594193,55.655091,218.819332,25.969066,43.3,NA,NA,"",NA
"60",60,"CHXR 73","b","Imaging",1,NA,210,NA,NA,0,0,0,"11h06m28.77s",166.619893,"-77d37m33.2s",-77.625877,NA,NA,0.35,NA,"14/5/14","CHXR 73 b",NA,NA,NA,"Mass",12.569,3994.486,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2006ApJ...649..894L target=ref> Luhman et al. 2006 </a>",2006,"<a href=http://adsabs.harvard.edu/abs/2006ApJ...649..894L target=ref> Luhman et al. 2006 </a>","Space","Hubble Space Telescope","2.4 m Hubble Space Telescope","ACS Camera",11.10799287,297.277725,-15.921642,238.71138,-66.332993,NA,NA,6.35,"M3.5",0.002
"61",61,"CT Cha","b","Imaging",1,NA,440,NA,NA,0,0,0,"11h04m09.09s",166.037877,"-76d27m19.4s",-76.455383,165,NA,NA,NA,"14/5/14","CT Cha b",NA,2600,NA,"Mass",17,5403,NA,2.2,24.66,0.226,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...491..311S target=ref> Schmidt et al. 2008 </a>",2007,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...491..311S target=ref> Schmidt et al. 2008 </a>","Ground","Paranal Observatory","8.2 m ESO VLT UT4 Yepun Telescope","NACO Camera",11.0691918,296.653702,-14.909141,235.834353,-66.126704,NA,NA,NA,"",0.002
"92",92,"DH Tau","b","Imaging",1,NA,330,NA,NA,0,0,0,"04h29m41.56s",67.423158,"+26d32m58.3s",26.54952,140,NA,0.33,0.27,"14/5/14","DH Tau b",NA,NA,NA,"Mass",11,3496,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2012A%26A...540A..85P target=ref> Patience et al. 2012 </a>",2004,"<a href=http://adsabs.harvard.edu/abs/2005ApJ...620..984I target=ref> Itoh et al. 2005 </a>","Ground","Subaru Telescope","8.2 m Subaru Telescope","CIAO Camera",4.4948772,171.899507,-14.938721,69.843598,4.676286,NA,NA,6.05,"M0.5",0.001
"101",101,"FU Tau","b","Imaging",1,NA,800,NA,NA,0,0,0,"04h23m35.74s",65.898908,"+25d02m59.6s",25.049898,140,2838,0.05,NA,"16/3/10","FU Tau b",NA,2375,NA,"Mass",16,5085.28,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2009ApJ...691.1265L target=ref> Luhman et al. 2009 </a>",2008,"<a href=http://adsabs.harvard.edu/abs/2009ApJ...691.1265L target=ref> Luhman et al. 2009 </a>","Space","Spitzer Space Telescope","0.85 m Spitzer Space Telescope","IRAC Infrared Array Camera",4.39326053,172.115586,-16.960789,68.247655,3.412304,NA,NA,6.72,"M7.25",0.001
"102",102,"Fomalhaut","b","Imaging",1,555530,160,0.87,55,0,0,0,"22h57m39.05s",344.412689,"-29d37m20.1s",-29.622236,7.69,NA,2,NA,"15/11/19","Fomalhaut b",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...561A..43B target=ref>Beust et al. 2014</a>",2008,"<a href=http://adsabs.harvard.edu/abs/2008Sci...322.1345K target=ref> Kalas et al. 2008 </a>","Space","Hubble Space Telescope","2.4 m Hubble Space Telescope","ACS Camera",22.96084595,20.488021,-64.90957,333.860252,-21.135613,130.08,NA,2.3,"A3 V",0.2
"122",122,"GJ 504","b","Imaging",1,NA,43.5,NA,NA,0,0,0,"13h16m46.52s",199.193817,"+09d25m27.0s",9.424156,17.95,6234,1.22,NA,"14/5/14","GJ 504 b",NA,510,NA,"Mass",4,1271.3,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...774...11K target=ref> Kuzuhara et al. 2013 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...774...11K target=ref> Kuzuhara et al. 2013 </a>","Ground","Subaru Telescope","8.2 m Subaru Telescope","HiCIAO Camera",13.27958781,322.790149,71.3124,194.008198,16.214869,55.71,-27.4,4,"G0 V",0.16
"147",147,"GQ Lup","b","Imaging",1,NA,100,NA,NA,0,0,0,"15h49m12.10s",237.300427,"-35d39m05.1s",-35.651421,139,NA,0.7,NA,"14/5/14","GQ Lup b",NA,2650,NA,"Mass",20,6356,NA,3,33.6,0.308,"<a href=http://adsabs.harvard.edu/abs/2008A%26A...484..281N target=ref> Neuh&auml;user et al. 2008 </a>",2004,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...435L..13N target=ref> Neuhauser et al. 2005 </a>","Ground","Paranal Observatory","8.2 m ESO VLT UT4 Yepun Telescope","NACO Camera",15.82002847,338.925348,14.51088,242.937052,-15.23378,NA,NA,5.7,"K7e V",0.001
"148",148,"GSC 06214-00210","b","Imaging",1,NA,320,NA,NA,0,0,1,"16h21m54.67s",245.47778,"-20d43m09.1s",-20.719202,145,4200,0.9,NA,"15/4/1","GSC 06214-00210 b",NA,2300,NA,"Mass",16,5000,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...802...61L target=ref>Lachapelle et al. 2015</a>",2010,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011ApJ...726..113I target=ref> Ireland et al. 2011 </a>","Ground","Palomar Observatory","5.1 m Hale Telescope","PHARO Camera",16.36518533,355.261958,20.124738,247.154925,0.796311,NA,NA,5.7,"K7",0.005
"149",149,"GU Psc","b","Imaging",1,NA,2000,NA,NA,0,0,0,"01h12m35.04s",18.146006,"+17d03m55.7s",17.065475,48,NA,0.33,NA,"14/5/14","GU Psc b",NA,1050,NA,"Mass",11.3,3591.3,NA,1.265,14.179,0.13,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787....5N target=ref> Naud et al. 2014 </a>",2014,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787....5N target=ref> Naud et al. 2014 </a>","Ground","Gemini Observatory","8.19 m Gemini South Telescope","GMOS Spectrograph",1.20973373,130.152329,-45.509583,23.228804,8.67441,NA,-1.6,6.3,"M3",0.1
"237",237,"HD 100546","b","Imaging",1,NA,53,NA,NA,0,0,0,"11h33m25.44s",173.356003,"-70d11m41.2s",-70.194786,97,10500,2.4,NA,"15/5/14","HD 100546 b",NA,NA,NA,"",NA,NA,NA,6.9,77.342,0.709,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...807...64Q target=ref>Quanz et al. 2015</a>",2014,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...807...64Q target=ref>Quanz et al. 2015</a>","Ground","Paranal Observatory","8.2 m ESO VLT UT4 Yepun Telescope","NACO Camera",11.55706685,296.367276,-8.323635,225.147184,-61.498731,NA,NA,1.9,"B9 Vne",0.005
"263",263,"HD 106906","b","Imaging",1,NA,650,NA,NA,0,0,0,"12h17m53.19s",184.471634,"-55d58m31.9s",-55.975525,91.83,6516,1.5,NA,"14/5/14","HD 106906 b",NA,1800,NA,"Mass",11,3496,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...780L...4B target=ref> Bailey et al. 2014 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...780L...4B target=ref> Bailey et al. 2014 </a>","Ground","Las Campanas Observatory","6.5 m Magellan II Clay Telescope","Clio2 Camera",12.29810893,298.218878,6.588967,213.533835,-47.992283,10.89,11.1,3.5,"F5 V",0.013
