"","rowid","pl_name","pl_orbper","pl_bmasse","pl_rade","pl_disc","rowupdate","pl_discmethod"
"832",832,"K2-95 b",10.13389,10.99,3.47,2016,"16/9/8","Transit"
"1895",1895,"Kepler-223 b",7.38449,7.4,2.99,2014,"16/8/4","Transit"
"1896",1896,"Kepler-223 c",9.84564,5.1,3.44,2014,"16/8/4","Transit"
"2918",2918,"Kepler-80 b",7.05246,6.93,2.67,2012,"16/8/4","Transit"
"2919",2919,"Kepler-80 c",9.52355,6.74,2.74,2012,"16/8/4","Transit"
"2920",2920,"Kepler-80 d",3.07222,6.75,1.53,2014,"16/8/4","Transit"
"2921",2921,"Kepler-80 e",4.64489,4.13,1.6,2014,"16/8/4","Transit"
"28",28,"55 Cnc e",0.736539,8.08,1.91,2004,"16/7/7","Radial Velocity"
"760",760,"K2-38 c",10.56103,9.9,2.42,2016,"16/7/7","Transit"
"48",48,"BD+20 594 b",41.6855,16.3,2.23,2016,"16/7/28","Transit"
"946",946,"Kepler-105 c",7.1262,4.6,1.31,2014,"16/4/7","Transit"
"2005",2005,"Kepler-26 b",12.28,5.12,2.78,2011,"16/4/7","Transit"
"2006",2006,"Kepler-26 c",17.2559,6.2,2.72,2011,"16/4/7","Transit"
"2087",2087,"Kepler-29 b",10.3384,4.51,3.35,2011,"16/4/7","Transit"
"2088",2088,"Kepler-29 c",13.2884,4,3.14,2011,"16/4/7","Transit"
"2142",2142,"Kepler-307 b",10.4208,7.44,2.43,2013,"16/4/7","Transit"
"2143",2143,"Kepler-307 c",13.0729,3.64,2.2,2013,"16/4/7","Transit"
"2667",2667,"Kepler-60 b",7.1334,4.19,1.71,2012,"16/4/7","Transit"
"2668",2668,"Kepler-60 c",8.9187,3.85,1.9,2012,"16/4/7","Transit"
"2669",2669,"Kepler-60 d",11.8981,4.16,1.99,2012,"16/4/7","Transit"
"2903",2903,"Kepler-79 b",13.4845,10.9,3.47,2012,"16/3/10","Transit"
"2904",2904,"Kepler-79 c",27.4029,5.9,3.72,2012,"16/3/10","Transit"
"2906",2906,"Kepler-79 e",81.0659,4.1,3.49,2014,"16/3/10","Transit"
"3344",3344,"WASP-47 d",9.095,16.8,3.71,2015,"16/12/1","Transit"
"3345",3345,"WASP-47 e",0.789636,9.1,1.82,2015,"16/12/1","Transit"
"1857",1857,"Kepler-21 b",2.78578,5.08,1.639,2012,"16/10/6","Transit"
"672",672,"HD 97658 b",9.4909,7.86,2.341,2010,"16/10/27","Radial Velocity"
"1973",1973,"Kepler-25 b",6.2385,9.6,2.71,2011,"16/10/27","Transit"
"2309",2309,"Kepler-37 d",39.7922,12.2,1.94,2013,"16/10/27","Transit"
"2500",2500,"Kepler-48 b",4.778,3.94,1.88,2012,"16/10/27","Transit"
"2501",2501,"Kepler-48 c",9.67395,14.61,2.71,2012,"16/10/27","Transit"
"2770",2770,"Kepler-68 b",5.39875,5.97,2.33,2013,"16/10/27","Transit"
"1380",1380,"Kepler-138 b",10.3126,0.066,0.522,2014,"15/6/17","Transit"
"1381",1381,"Kepler-138 c",13.7813,1.97,1.197,2014,"15/6/17","Transit"
"1382",1382,"Kepler-138 d",23.0881,0.64,1.212,2014,"15/6/17","Transit"
"3086",3086,"Kepler-93 b",4.72673978,4.02,1.478,2014,"15/4/16","Transit"
"87",87,"CoRoT-7 b",0.85359159,5.74,1.585,2009,"15/3/5","Transit"
"104",104,"GJ 1214 b",1.58040456,6.26125,2.847,2009,"15/12/3","Transit"
"2472",2472,"Kepler-454 b",10.57375339,6.84,2.37,2015,"15/12/3","Transit"
"103",103,"GJ 1132 b",1.62893,1.62,1.16,2015,"15/11/12","Transit"
"876",876,"Kepler-10 b",0.837491,4.60853,1.481,2011,"15/10/15","Transit"
"892",892,"Kepler-101 c",6.02976,3.78,1.25,2014,"14/9/25","Transit"
"116",116,"GJ 3470 b",3.3366487,13.73,3.88,2012,"14/7/23","Radial Velocity"
"877",877,"Kepler-10 c",45.294301,17.2,2.35,2011,"14/6/2","Transit"
"76",76,"CoRoT-24 b",5.1134,5.7,3.7,2014,"14/6/11","Transit"
"2229",2229,"Kepler-338 e",9.341,8.5,1.56,2014,"14/5/28","Transit Timing Variations"
"2407",2407,"Kepler-414 b",4.7,3.5,1.71,2014,"14/5/28","Transit Timing Variations"
"2413",2413,"Kepler-417 b",12.331,11,2.31,2014,"14/5/28","Transit Timing Variations"
"859",859,"KOI-142 b",10.95416,8.7,3.78,2013,"14/5/14","Transit"
"869",869,"KOI-55 b",0.240104,0.44,0.759,2011,"14/5/14","Orbital Brightness Modulation"
"870",870,"KOI-55 c",0.342887,0.655,0.867,2011,"14/5/14","Orbital Brightness Modulation"
"871",871,"KOI-94 b",3.743208,10.5,1.71,2013,"14/5/14","Transit"
"906",906,"Kepler-102 d",10.3117,3.8,1.18,2014,"14/5/14","Transit"
"907",907,"Kepler-102 e",16.1457,8.93,2.22,2013,"14/5/14","Transit"
"919",919,"Kepler-103 b",15.9654,9.7,3.37,2014,"14/5/14","Transit"
"959",959,"Kepler-106 c",13.5708,10.44,2.5,2014,"14/5/14","Transit"
"961",961,"Kepler-106 e",43.8445,11.17,2.56,2014,"14/5/14","Transit"
"1014",1014,"Kepler-11 b",10.3039,1.9,1.8,2010,"14/5/14","Transit"
"1015",1015,"Kepler-11 c",13.0241,2.9,2.87,2010,"14/5/14","Transit"
"1016",1016,"Kepler-11 d",22.6845,7.3,3.12,2010,"14/5/14","Transit"
"1018",1018,"Kepler-11 f",46.6888,2,2.49,2010,"14/5/14","Transit"
"1057",1057,"Kepler-113 b",4.754,11.7,1.82,2014,"14/5/14","Transit"
"1070",1070,"Kepler-114 c",8.041,2.8,1.6,2013,"14/5/14","Transit"
"1071",1071,"Kepler-114 d",11.776,3.9,2.53,2013,"14/5/14","Transit"
"1287",1287,"Kepler-131 b",16.092,16.13,2.41,2014,"14/5/14","Transit"
"1765",1765,"Kepler-177 b",36.855,2,2.9,2013,"14/5/14","Transit"
"1772",1772,"Kepler-18 b",3.504725,6.9,2,2011,"14/5/14","Transit"
"1827",1827,"Kepler-20 b",3.6961219,8.7,1.91,2011,"14/5/14","Transit"
"1828",1828,"Kepler-20 c",10.854092,16.1,3.07,2011,"14/5/14","Transit"
"1941",1941,"Kepler-238 f",50.447,13.5,2,2013,"14/5/14","Transit"
"2050",2050,"Kepler-276 c",31.884,16.6,2.9,2013,"14/5/14","Transit"
"2051",2051,"Kepler-276 d",48.648,16.3,2.8,2013,"14/5/14","Transit"
"2119",2119,"Kepler-30 b",29.33434,11.3,3.9,2012,"14/5/14","Transit"
"2135",2135,"Kepler-305 b",5.487,10.5,3.6,2013,"14/5/14","Transit"
"2136",2136,"Kepler-305 c",8.291,6,3.3,2013,"14/5/14","Transit"
"2260",2260,"Kepler-350 c",17.849,6.1,3.1,2013,"14/5/14","Transit"
"2261",2261,"Kepler-350 d",26.136,14.9,2.8,2013,"14/5/14","Transit"
"2284",2284,"Kepler-36 b",13.83989,4.45,1.486,2012,"14/5/14","Transit"
"2285",2285,"Kepler-36 c",16.23855,8.08,3.679,2012,"14/5/14","Transit"
"2395",2395,"Kepler-406 b",2.42629,6.35,1.43,2014,"14/5/14","Transit"
"2502",2502,"Kepler-48 d",42.8961,7.93,2.04,2014,"14/5/14","Transit"
"2699",2699,"Kepler-62 d",18.16406,14,1.95,2013,"14/5/14","Transit"
"2892",2892,"Kepler-78 b",0.355,1.86,1.173,2013,"14/5/14","Transit"
"3073",3073,"Kepler-92 c",26.723,6.1,2.6,2013,"14/5/14","Transit"
"3099",3099,"Kepler-94 b",2.50806,10.84,3.51,2014,"14/5/14","Transit"
"3111",3111,"Kepler-95 b",11.5231,13,3.42,2014,"14/5/14","Transit"
"3123",3123,"Kepler-96 b",16.2385,8.46,2.67,2014,"14/5/14","Transit"
"3137",3137,"Kepler-97 b",2.58664,3.51,1.48,2014,"14/5/14","Transit"
"3149",3149,"Kepler-98 b",1.54168,3.55,1.99,2014,"14/5/14","Transit"
"3160",3160,"Kepler-99 b",4.60358,6.15,1.48,2014,"14/5/14","Transit"
"682",682,"HIP 116454 b",9.1205,11.82,2.53,2014,"14/12/19","Radial Velocity"
"2084",2084,"Kepler-289 b",34.545,7.3,2.15,2014,"14/11/19","Transit"
"2086",2086,"Kepler-289 d",66.0634,4,2.68,2014,"14/11/19","Transit"
